"Dia","1ª Dose","2ª Dose","Dose Única","Dose Reforço","2ª Dose Reforço","Dose Adicional","Total de Doses Aplicadas"
"05/01/2022","53,921","221,882","1,049","1,012,877","407","45,004","1,335,140"
"06/01/2022","56,529","229,847","1,079","1,029,653","463","42,079","1,359,650"
"07/01/2022","55,648","209,951","960","942,687","619","38,296","1,248,161"
"08/01/2022","11,579","44,307","369","273,399","248","7,072","336,974"
"09/01/2022","2,158","6,567","58","41,337","13","1,012","51,145"
"10/01/2022","58,812","204,799","1,185","1,061,629","486","38,420","1,365,331"
"11/01/2022","58,590","218,687","1,127","1,057,898","426","45,553","1,382,281"
"12/01/2022","60,081","222,641","1,273","1,031,060","448","45,080","1,360,583"
"13/01/2022","64,598","229,901","1,327","1,115,963","475","42,671","1,454,935"
"14/01/2022","58,322","196,132","1,148","1,019,634","551","38,462","1,314,249"
"15/01/2022","30,048","53,646","458","334,606","211","11,480","430,449"
"16/01/2022","9,840","6,760","79","37,089","63","811","54,642"
"17/01/2022","116,096","166,765","869","891,786","609","32,584","1,208,709"
"18/01/2022","152,063","196,854","945","926,062","464","36,446","1,312,834"
"19/01/2022","190,979","186,031","1,160","835,208","391","33,015","1,246,784"
"20/01/2022","189,143","172,433","852","802,408","666","28,771","1,194,273"
"21/01/2022","184,832","144,003","721","767,157","650","30,675","1,128,038"
"22/01/2022","210,841","33,245","250","212,197","198","7,109","463,840"
"23/01/2022","30,187","5,983","74","31,673","80","490","68,487"
"24/01/2022","328,635","142,241","780","822,506","931","28,745","1,323,838"
"25/01/2022","357,795","157,686","739","803,106","580","28,565","1,348,471"
"26/01/2022","481,915","156,609","955","793,512","801","28,566","1,462,358"
"27/01/2022","499,518","149,190","852","795,269","859","29,017","1,474,705"
"28/01/2022","493,937","137,091","716","762,016","971","24,835","1,419,566"
"29/01/2022","327,710","30,107","257","252,005","285","8,560","618,924"
"30/01/2022","47,454","5,505","34","34,904","106","601","88,604"
"31/01/2022","499,689","135,889","719","736,342","1,148","22,881","1,396,668"
"01/02/2022","547,588","153,894","862","799,224","863","28,505","1,530,936"
"02/02/2022","501,779","143,364","880","738,211","741","26,543","1,411,518"
"03/02/2022","499,518","144,671","986","719,236","1,057","27,633","1,393,101"
"04/02/2022","536,704","125,808","850","737,142","1,190","25,493","1,427,187"
"05/02/2022","476,163","42,212","458","326,407","566","6,957","852,763"
"06/02/2022","36,756","5,123","45","49,695","2,643","784","95,046"
"07/02/2022","408,723","123,844","1,207","746,782","1,827","26,757","1,309,140"
"08/02/2022","463,940","126,877","1,637","839,858","1,801","30,005","1,464,118"
"09/02/2022","458,082","123,440","2,260","790,558","1,884","28,121","1,404,345"
"10/02/2022","413,035","121,476","2,269","747,002","2,209","28,397","1,314,388"
"11/02/2022","400,064","102,259","1,619","668,054","2,101","27,140","1,201,237"
"12/02/2022","231,454","28,630","348","203,949","1,820","6,093","472,294"
"13/02/2022","22,833","5,373","96","38,779","587","984","68,652"
"14/02/2022","276,922","102,803","1,922","699,443","2,752","26,698","1,110,540"
"15/02/2022","284,322","103,022","2,054","740,764","3,502","26,785","1,160,449"
"16/02/2022","310,406","103,107","1,953","705,588","3,925","29,938","1,154,917"
"17/02/2022","271,405","99,180","2,202","663,891","3,905","28,605","1,069,188"
"18/02/2022","257,502","86,904","2,503","628,916","3,058","25,963","1,004,846"
"19/02/2022","197,229","61,157","685","260,835","690","13,897","534,493"
"20/02/2022","14,619","6,716","137","33,251","583","2,113","57,419"
"21/02/2022","191,157","140,618","2,478","675,218","2,789","26,222","1,038,482"
"22/02/2022","218,009","171,326","2,785","743,795","3,378","30,691","1,169,984"
"23/02/2022","219,240","189,344","2,656","694,596","3,106","29,670","1,138,612"
"24/02/2022","218,592","203,900","2,450","638,958","3,226","26,132","1,093,258"
"25/02/2022","195,859","210,429","2,033","567,732","2,515","23,850","1,002,418"
"26/02/2022","89,107","62,236","386","105,771","1,747","3,643","262,890"
"27/02/2022","4,753","3,494","46","13,663","701","434","23,091"
"28/02/2022","31,809","38,811","340","117,034","1,195","5,091","194,280"
"01/03/2022","21,070","23,964","247","84,614","829","3,024","133,748"
"02/03/2022","68,614","140,149","1,169","296,919","1,960","12,294","521,105"
"03/03/2022","143,928","264,134","2,328","600,187","3,636","25,472","1,039,685"
"04/03/2022","151,003","271,448","2,079","603,055","2,932","24,760","1,055,277"
"05/03/2022","62,533","130,762","529","185,316","3,257","6,691","389,088"
"06/03/2022","5,230","9,397","157","25,490","287","603","41,164"
"07/03/2022","117,154","235,681","2,611","555,599","4,121","23,005","938,171"
"08/03/2022","128,913","246,174","2,111","609,383","4,237","26,661","1,017,479"
"09/03/2022","132,453","244,043","2,157","625,086","4,413","29,093","1,037,245"
"10/03/2022","130,564","233,981","2,527","623,422","3,060","28,807","1,022,361"
"11/03/2022","127,595","230,119","2,803","546,926","2,866","22,504","932,813"
"12/03/2022","60,715","103,221","726","188,868","3,162","9,012","365,704"
"13/03/2022","5,148","7,822","63","20,778","722","658","35,191"
"14/03/2022","87,332","185,835","2,260","459,948","3,345","18,689","757,409"
"15/03/2022","100,927","215,735","2,628","552,660","3,758","23,674","899,382"
"16/03/2022","97,895","220,760","2,418","542,285","3,966","24,189","891,513"
"17/03/2022","97,667","212,917","2,663","534,830","4,432","26,406","878,915"
"18/03/2022","103,175","238,346","2,042","499,103","13,281","20,557","876,504"
"19/03/2022","46,678","103,992","373","176,959","7,358","5,803","341,163"
"20/03/2022","4,346","8,222","70","17,422","1,369","1,017","32,446"
"21/03/2022","79,187","202,852","2,045","448,047","44,373","18,732","795,236"
"22/03/2022","81,087","207,213","2,351","476,853","47,616","20,142","835,262"
"23/03/2022","85,213","219,499","2,267","504,053","47,440","24,058","882,530"
"24/03/2022","79,817","220,495","1,865","454,565","52,273","24,512","833,527"
"25/03/2022","78,995","232,915","2,092","421,750","55,769","22,138","813,659"
"26/03/2022","32,841","86,012","379","140,533","22,824","8,120","290,709"
"27/03/2022","9,271","26,158","234","40,466","12,746","1,255","90,130"
"28/03/2022","60,734","203,899","2,312","372,235","65,584","21,255","726,019"
"29/03/2022","65,913","207,056","2,683","410,687","124,544","24,947","835,830"
"30/03/2022","62,948","191,781","2,434","394,692","119,536","23,977","795,368"
"31/03/2022","59,756","186,758","2,370","352,870","111,399","20,495","733,648"
"01/04/2022","57,617","182,418","2,647","313,989","108,212","17,833","682,716"
"02/04/2022","20,938","69,150","527","112,971","44,489","5,778","253,853"
"03/04/2022","2,501","8,467","182","11,999","6,038","2,005","31,192"
"04/04/2022","47,439","173,364","3,054","305,653","190,616","22,393","742,519"
"05/04/2022","50,652","179,677","3,565","328,340","268,711","25,409","856,354"
"06/04/2022","49,634","170,521","3,215","316,387","263,490","25,610","828,857"
"07/04/2022","49,804","172,976","3,357","307,223","257,283","22,056","812,699"
"08/04/2022","49,375","179,144","2,681","271,167","226,171","21,636","750,174"
"09/04/2022","15,764","58,419","675","74,130","54,087","3,502","206,577"
"10/04/2022","2,054","6,675","79","8,523","5,985","775","24,091"
"11/04/2022","40,131","149,765","3,014","261,804","247,231","20,011","721,956"
"12/04/2022","41,784","153,907","2,621","273,693","250,470","20,757","743,232"
"13/04/2022","41,288","150,657","2,525","257,694","219,928","19,191","691,283"
"14/04/2022","18,476","74,479","1,208","109,748","110,814","7,772","322,497"
"15/04/2022","833","3,193","53","4,461","3,735","329","12,604"
"16/04/2022","3,687","13,746","177","17,347","14,209","1,041","50,207"
"17/04/2022","663","2,389","37","2,595","1,888","129","7,701"
"18/04/2022","32,378","139,060","2,423","216,923","214,202","16,926","621,912"
"19/04/2022","39,256","161,893","2,415","245,072","240,264","19,300","708,200"
"20/04/2022","47,061","182,832","2,284","259,477","222,874","19,857","734,385"
"21/04/2022","4,503","14,232","246","21,628","13,692","896","55,197"
"22/04/2022","12,857","49,647","546","74,670","43,906","5,060","186,686"
"23/04/2022","5,972","21,967","152","26,246","17,591","1,143","73,071"
"24/04/2022","1,678","5,544","56","7,004","4,102","313","18,697"
"25/04/2022","32,900","128,298","2,193","207,618","186,473","16,670","574,152"
"26/04/2022","35,804","135,240","2,357","229,779","199,566","17,401","620,147"
"27/04/2022","37,212","132,928","2,151","216,258","207,094","16,586","612,229"
"28/04/2022","35,946","131,503","2,182","204,613","185,159","15,112","574,515"
"29/04/2022","34,718","124,295","1,904","173,386","156,834","11,953","503,090"
"30/04/2022","37,495","113,118","1,460","151,997","133,619","11,389","449,078"
"01/05/2022","864","2,623","37","3,897","3,197","207","10,825"
"02/05/2022","27,214","85,489","1,677","160,365","152,601","13,089","440,435"
"03/05/2022","27,762","90,165","1,715","169,493","183,149","15,776","488,060"
"04/05/2022","27,179","87,495","1,802","158,647","194,025","15,849","484,997"
"05/05/2022","26,091","87,866","2,235","159,637","214,356","16,031","506,216"
"06/05/2022","25,233","84,582","1,550","134,425","180,838","11,964","438,592"
"07/05/2022","5,698","18,868","191","25,872","26,270","1,462","78,361"
"08/05/2022","414","996","22","1,447","1,267","76","4,222"
"09/05/2022","20,635","68,608","1,698","129,894","183,746","12,394","416,975"
"10/05/2022","23,887","79,757","2,004","150,266","219,992","14,095","490,001"
"11/05/2022","24,265","82,021","1,878","149,735","235,743","13,981","507,623"
"12/05/2022","24,653","80,990","1,779","145,903","217,541","13,431","484,297"
"13/05/2022","24,398","78,336","1,705","134,122","189,525","11,828","439,914"
"14/05/2022","6,066","20,036","219","28,418","32,036","1,506","88,281"
"15/05/2022","857","2,456","50","3,693","2,731","177","9,964"
"16/05/2022","21,301","64,540","1,517","131,292","177,258","12,890","408,798"
"17/05/2022","22,123","67,492","1,473","132,436","193,093","11,744","428,361"
"18/05/2022","20,331","60,480","1,278","109,665","149,079","9,896","350,729"
"19/05/2022","19,800","60,767","1,476","113,011","156,390","10,344","361,788"
"20/05/2022","21,362","64,673","1,423","116,809","182,953","11,287","398,507"
"21/05/2022","6,259","19,150","315","28,534","38,382","1,509","94,149"
"22/05/2022","927","2,270","40","3,246","3,679","295","10,457"
"23/05/2022","19,739","57,696","1,639","126,029","207,730","12,696","425,529"
"24/05/2022","22,383","64,241","1,828","144,115","234,943","13,781","481,291"
"25/05/2022","22,859","67,526","1,703","138,970","227,553","14,393","473,004"
"26/05/2022","23,014","66,220","1,629","132,879","201,505","11,953","437,200"
"27/05/2022","23,683","67,302","1,444","119,879","167,723","11,085","391,116"
"28/05/2022","8,991","25,106","351","47,519","45,544","2,663","130,174"
"29/05/2022","708","1,630","36","3,748","2,333","235","8,690"
"30/05/2022","21,108","57,397","1,617","160,128","170,959","13,527","424,736"
"31/05/2022","22,902","63,078","1,626","207,075","197,543","14,164","506,388"
"01/06/2022","24,195","64,242","1,503","228,803","194,442","15,619","528,804"
"02/06/2022","24,484","62,052","1,551","243,939","196,226","14,735","542,987"
"03/06/2022","27,413","67,024","1,603","276,016","241,388","16,208","629,652"
"04/06/2022","10,056","26,401","545","119,155","89,736","8,386","254,279"
"05/06/2022","740","1,698","69","9,681","4,550","340","17,078"
"06/06/2022","22,290","55,726","2,349","257,321","392,485","18,053","748,224"
"07/06/2022","25,113","59,710","2,242","296,746","514,004","21,782","919,597"
"08/06/2022","25,885","62,965","1,931","295,953","521,482","22,781","930,997"
"09/06/2022","25,700","61,497","1,961","292,174","527,414","20,649","929,395"
"10/06/2022","25,392","58,898","2,189","279,808","501,573","20,028","887,888"
"11/06/2022","13,244","31,261","922","143,905","228,286","11,276","428,894"
"12/06/2022","679","1,565","27","5,612","9,081","607","17,571"
"13/06/2022","20,485","48,181","2,149","239,859","450,777","17,981","779,432"
"14/06/2022","22,739","52,811","2,104","287,238","538,030","22,625","925,547"
"15/06/2022","26,695","60,655","2,088","308,279","538,120","24,067","959,904"
"16/06/2022","2,347","5,430","94","26,636","43,475","1,375","79,357"
"17/06/2022","8,006","18,954","472","97,742","148,389","6,725","280,288"
"18/06/2022","3,792","9,715","126","45,580","69,982","1,696","130,891"
"19/06/2022","601","1,556","13","6,228","9,357","280","18,035"
"20/06/2022","16,323","39,715","1,343","198,973","463,336","18,826","738,516"
"21/06/2022","23,791","57,198","1,961","316,381","661,389","24,074","1,084,794"
"22/06/2022","24,112","57,360","1,580","317,383","665,842","23,670","1,089,947"
"23/06/2022","21,530","50,126","1,100","259,758","555,365","21,070","908,949"
"24/06/2022","19,622","44,212","1,037","225,160","468,749","17,558","776,338"
"25/06/2022","8,340","17,871","202","86,724","180,190","7,004","300,331"
"26/06/2022","819","1,915","25","8,098","15,919","625","27,401"
"27/06/2022","19,808","46,848","1,402","248,174","535,232","20,281","871,745"
"28/06/2022","22,057","52,743","1,521","279,891","590,543","21,876","968,631"
"29/06/2022","21,082","48,772","1,355","255,008","514,999","20,476","861,692"
"30/06/2022","21,670","51,166","1,631","251,569","494,252","18,726","839,014"
"01/07/2022","20,168","46,231","1,158","226,458","445,385","17,019","756,419"
"02/07/2022","6,121","13,845","253","64,619","128,719","4,360","217,917"
"03/07/2022","643","1,502","16","6,683","13,060","395","22,299"
"04/07/2022","19,853","43,567","1,190","221,392","421,861","15,820","723,683"
"05/07/2022","21,544","48,774","1,213","237,965","458,859","17,505","785,860"
"06/07/2022","22,711","50,774","1,247","239,847","443,087","16,508","774,174"
"07/07/2022","22,104","49,790","1,826","224,839","403,462","15,169","717,190"
"08/07/2022","19,679","43,333","907","196,775","348,570","13,067","622,331"
"09/07/2022","5,489","11,974","102","43,384","83,668","2,953","147,570"
"10/07/2022","568","1,256","12","6,623","10,545","182","19,186"
"11/07/2022","20,194","43,520","1,000","211,155","368,877","14,852","659,598"
"12/07/2022","21,839","48,110","1,155","234,499","424,804","15,390","745,797"
"13/07/2022","21,722","47,713","1,050","219,438","401,370","15,744","707,037"
"14/07/2022","22,397","47,807","779","214,712","374,480","13,997","674,172"
"15/07/2022","23,181","44,626","639","194,141","333,868","11,408","607,863"
"16/07/2022","5,961","9,684","150","36,108","75,411","2,446","129,760"
"17/07/2022","729","1,337","7","5,272","13,106","111","20,562"
"18/07/2022","26,236","41,613","657","189,293","325,274","11,943","595,016"
"19/07/2022","32,191","49,445","682","217,227","363,633","13,760","676,938"
"20/07/2022","39,982","52,698","610","211,722","380,700","14,195","699,907"
"21/07/2022","41,238","49,840","616","198,293","339,828","13,023","642,838"
"22/07/2022","45,251","46,467","504","177,053","309,218","10,011","588,504"
"23/07/2022","19,354","13,697","74","54,821","94,976","3,107","186,029"
"24/07/2022","1,301","1,354","22","5,195","10,312","183","18,367"
"25/07/2022","45,258","43,115","594","182,206","320,456","10,965","602,594"
"26/07/2022","51,915","46,326","533","192,424","360,340","11,849","663,387"
"27/07/2022","56,530","49,837","533","193,119","354,762","12,781","667,562"
"28/07/2022","53,049","46,783","490","178,437","324,610","10,098","613,467"
"29/07/2022","50,941","43,496","446","155,181","287,352","9,708","547,124"
"30/07/2022","16,215","12,593","71","42,661","100,486","2,436","174,462"
"31/07/2022","1,190","1,378","1","4,542","7,793","167","15,071"
"01/08/2022","35,265","33,864","530","140,610","259,720","7,935","477,924"
"02/08/2022","37,897","35,292","465","143,056","284,249","8,708","509,667"
"03/08/2022","36,753","34,281","521","135,266","262,997","9,207","479,025"
"04/08/2022","35,260","33,361","401","130,330","257,605","9,109","466,066"
"05/08/2022","37,452","32,981","441","120,864","222,659","6,610","421,007"
"06/08/2022","9,290","7,164","56","22,699","51,391","1,114","91,714"
"07/08/2022","954","1,131","17","3,204","5,648","87","11,041"
"08/08/2022","28,174","29,380","527","109,876","202,387","6,484","376,828"
"09/08/2022","30,861","31,180","497","114,565","221,498","7,100","405,701"
"10/08/2022","30,899","31,500","374","114,240","221,725","7,047","405,785"
"11/08/2022","29,753","29,555","420","108,217","204,867","6,535","379,347"
"12/08/2022","36,471","36,978","405","125,776","220,779","7,240","427,649"
"13/08/2022","10,685","9,472","55","25,409","54,027","1,251","100,899"
"14/08/2022","525","530","10","1,942","3,562","62","6,631"
"15/08/2022","18,765","22,025","306","81,534","168,403","4,833","295,866"
"16/08/2022","24,803","27,930","393","95,877","202,133","6,062","357,198"
"17/08/2022","25,364","29,020","440","93,103","189,819","6,124","343,870"
"18/08/2022","23,800","29,008","319","89,120","181,680","5,499","329,426"
"19/08/2022","22,244","26,907","254","75,179","149,074","4,280","277,938"
"20/08/2022","99,909","73,013","177","113,820","148,899","6,535","442,353"
"21/08/2022","937","949","6","2,479","4,361","117","8,849"
"22/08/2022","27,422","31,971","270","81,157","147,219","4,988","293,027"
"23/08/2022","28,677","33,160","310","86,254","162,998","5,222","316,621"
"24/08/2022","29,610","35,799","285","86,642","159,451","5,223","317,010"
"25/08/2022","29,159","34,893","326","81,487","155,289","5,012","306,166"
"26/08/2022","33,251","35,912","265","74,982","142,237","4,317","290,964"
"27/08/2022","9,389","9,585","37","15,594","32,198","825","67,628"
"28/08/2022","1,058","1,020","2","2,486","5,161","105","9,832"
"29/08/2022","24,166","31,336","268","66,896","119,291","3,502","245,459"
"30/08/2022","25,311","33,279","313","70,104","127,679","4,230","260,916"
"31/08/2022","23,907","32,264","389","67,039","125,703","4,529","253,831"
"01/09/2022","19,330","27,438","272","60,674","112,661","3,981","224,356"
"02/09/2022","20,652","26,517","244","53,920","104,269","3,058","208,660"
"03/09/2022","6,754","7,017","39","11,779","24,154","539","50,282"
"04/09/2022","605","724","22","1,621","3,264","44","6,280"
"05/09/2022","15,483","21,520","267","49,244","95,509","2,944","184,967"
"06/09/2022","17,981","23,633","319","52,745","103,667","3,297","201,642"
"07/09/2022","992","979","8","2,450","5,114","78","9,621"
"08/09/2022","16,257","23,024","221","46,087","90,544","2,927","179,060"
"09/09/2022","19,106","25,612","194","48,006","88,755","3,654","185,327"
"10/09/2022","3,851","4,511","47","7,933","20,414","304","37,060"
"11/09/2022","305","427","38","1,034","2,121","81","4,006"
"12/09/2022","14,115","21,703","247","45,365","87,224","2,574","171,228"
"13/09/2022","15,309","23,881","314","51,080","93,221","2,739","186,544"
"14/09/2022","15,706","25,686","292","49,341","87,354","2,116","180,495"
"15/09/2022","14,942","23,388","245","44,636","84,278","2,206","169,695"
"16/09/2022","15,635","22,476","269","41,729","77,103","1,876","159,088"
"17/09/2022","4,294","6,398","30","9,104","22,539","283","42,648"
"18/09/2022","662","904","14","1,631","2,749","41","6,001"
"19/09/2022","13,791","23,395","209","42,617","84,628","1,821","166,461"
"20/09/2022","15,187","25,068","227","44,604","87,897","2,041","175,024"
"21/09/2022","13,234","21,973","202","38,553","78,305","1,779","154,046"
"22/09/2022","14,867","24,319","198","43,845","84,394","2,022","169,645"
"23/09/2022","16,048","25,399","197","39,284","80,394","1,652","162,974"
"24/09/2022","5,807","8,277","35","10,555","22,136","312","47,122"
"25/09/2022","363","514","6","1,003","2,631","31","4,548"
"26/09/2022","11,447","19,298","237","35,963","69,345","1,656","137,946"
"27/09/2022","13,190","22,173","239","41,556","78,852","1,985","157,995"
"28/09/2022","13,732","23,113","204","39,190","71,465","1,812","149,516"
"29/09/2022","15,962","24,959","205","40,825","73,705","1,809","157,465"
"30/09/2022","25,718","30,293","164","38,708","69,890","1,493","166,266"
"01/10/2022","3,938","4,089","8","4,203","11,706","172","24,116"
"02/10/2022","34","51","4","163","279","6","537"
"03/10/2022","12,625","16,079","188","28,135","53,265","1,139","111,431"
"04/10/2022","14,112","19,439","179","32,792","60,963","1,533","129,018"
"05/10/2022","15,698","20,551","166","33,676","63,839","1,356","135,286"
"06/10/2022","15,387","20,988","192","31,833","61,385","1,454","131,239"
"07/10/2022","18,496","22,386","176","30,087","59,477","1,245","131,867"
"08/10/2022","7,691","7,512","17","6,892","14,545","260","36,917"
"09/10/2022","348","429","5","731","1,581","17","3,111"
"10/10/2022","13,194","18,100","253","30,226","57,312","1,295","120,380"
"11/10/2022","14,409","19,834","201","32,615","61,843","1,421","130,323"
"12/10/2022","1,070","1,156","6","1,594","3,374","29","7,229"
"13/10/2022","13,474","19,721","163","29,907","55,467","1,267","119,999"
"14/10/2022","15,834","21,117","135","31,635","57,345","1,110","127,176"
"15/10/2022","4,638","5,196","6","6,815","12,280","170","29,105"
"16/10/2022","291","361","0","550","1,082","16","2,300"
"17/10/2022","14,486","20,364","159","30,952","56,931","1,289","124,181"
"18/10/2022","15,113","21,185","171","31,491","55,836","1,295","125,091"
"19/10/2022","16,193","22,040","200","32,201","55,208","1,413","127,255"
"20/10/2022","15,728","22,128","162","31,801","55,096","1,233","126,148"
"21/10/2022","16,350","20,699","183","27,275","52,235","1,112","117,854"
"22/10/2022","5,978","6,464","24","7,541","14,876","278","35,161"
"23/10/2022","253","388","4","540","1,157","10","2,352"
"24/10/2022","11,788","16,029","192","26,235","45,594","1,170","101,008"
"25/10/2022","12,927","18,542","183","29,429","49,593","1,247","111,921"
"26/10/2022","14,029","20,144","213","30,367","53,683","1,423","119,859"
"27/10/2022","15,391","21,622","212","29,935","52,227","1,366","120,753"
"28/10/2022","7,700","11,278","231","13,815","23,687","627","57,338"
"29/10/2022","1,496","2,055","18","2,558","5,650","65","11,842"
"30/10/2022","115","137","1","147","203","9","612"
"31/10/2022","7,189","12,352","194","17,185","27,274","606","64,800"
"01/11/2022","6,835","10,456","273","17,335","30,982","675","66,556"
"02/11/2022","315","459","2","1,016","2,089","37","3,918"
"03/11/2022","7,769","13,066","333","20,107","32,827","977","75,079"
"04/11/2022","10,324","15,636","345","19,824","36,630","827","83,586"
"05/11/2022","2,103","2,957","45","3,646","8,721","84","17,556"
"06/11/2022","308","339","5","1,192","1,188","20","3,052"
"07/11/2022","10,962","15,290","510","27,002","55,971","1,021","110,756"
"08/11/2022","12,933","17,419","449","32,272","73,884","1,445","138,402"
"09/11/2022","15,770","19,144","510","40,961","94,942","1,905","173,232"
"10/11/2022","16,212","19,926","503","43,988","105,429","1,896","187,954"
"11/11/2022","20,427","22,030","623","48,238","118,332","1,839","211,489"
"12/11/2022","3,113","3,295","54","7,906","22,726","131","37,225"
"13/11/2022","180","240","4","766","1,686","58","2,934"
"14/11/2022","3,915","4,618","168","12,976","32,682","722","55,081"
"15/11/2022","611","669","30","2,987","6,144","26","10,467"
"16/11/2022","21,185","22,483","820","68,441","170,732","2,712","286,373"
"17/11/2022","23,285","24,680","662","74,820","187,263","3,329","314,039"
"18/11/2022","29,609","27,246","619","74,430","180,491","3,347","315,742"
"19/11/2022","8,425","7,599","95","20,952","59,933","597","97,601"
"20/11/2022","678","569","9","1,852","5,062","103","8,273"
"21/11/2022","23,339","21,108","578","72,484","167,562","2,950","288,021"
"22/11/2022","22,965","21,099","489","70,966","162,389","3,188","281,096"
"23/11/2022","24,902","20,860","444","64,835","146,320","3,008","260,369"
"24/11/2022","17,327","13,961","320","40,278","88,786","1,668","162,340"
"25/11/2022","22,496","17,703","330","51,129","115,877","2,008","209,543"
"26/11/2022","7,133","4,680","71","13,667","33,829","246","59,626"
"27/11/2022","234","126","3","357","905","0","1,625"
